synthetic_demo,decision_id,evaluator_id,country,context,message_id,policy_arm,support_0_100,approval,merit_accuracy,decision_time_s,policy_acceptability_1_7
1,S4D001,S4E001,US,consumer,M01,generic,58,0,1,76,4.1
1,S4D002,S4E002,UK,workplace,M02,generic,59,1,1,74,4.2
1,S4D003,S4E003,US,workplace,M03,generic,57,0,1,77,4.0
1,S4D004,S4E004,UK,consumer,M04,neutral,59,1,1,77,4.3
1,S4D005,S4E005,US,consumer,M05,neutral,60,1,1,78,4.2
1,S4D006,S4E006,UK,workplace,M06,neutral,58,0,1,76,4.4
1,S4D007,S4E007,US,workplace,M07,attestation,63,1,1,79,5.1
1,S4D008,S4E008,UK,consumer,M08,attestation,62,1,1,78,5.0
1,S4D009,S4E009,US,consumer,M09,attestation,64,1,1,77,5.2
1,S4D010,S4E010,UK,workplace,M10,staged,64,1,1,71,5.0
1,S4D011,S4E011,US,workplace,M11,staged,65,1,1,70,5.1
1,S4D012,S4E012,UK,consumer,M12,staged,63,1,1,72,4.9
